date,home,away,market,selection,book,odds,fair_p,fair_odds,ev,stake,league,kickoff,FTHG,FTAG,PSCH,PSCD,PSCA,PC>2.5,PC<2.5,won,profit,profit_flat,close_odds,clv,ev_close
2026-09-23,Boreham Wood,Everton U21,1x2,X,SB,7.2,0.1602320976683387,6.240946817471493,0.1536711032120388,6.196415452098339,,,,,1.2469,5.08,12.17,,,,,,5.08,0.4173228346456692,0.1536711032120388
2026-09-23,Crystal Palace,Watford,1x2,1,SB,1.18,0.8916053471223319,1.1215724571723502,0.0520943096043515,20.0,,,,,1.1,8.42,17.7,,,,,,1.1,0.07272727272727253,0.052094309604351574
2026-09-23,Liverpool,Sunderland,1x2,1,SB,1.17,0.8826774076408336,1.1329167273837213,0.0327325669397753,20.0,,,,,1.11,7.85,17.68,,,,,,1.11,0.054054054054053946,0.03273256693977533
2026-09-23,Liverpool Montevideo,Colon,1x2,1,SB,1.53,0.6884042465691357,1.4526348507926743,0.0532584972507776,20.0,,,,,1.3831,4.06,6.68,1.9709,1.7634,,,,1.3831,0.10621068613983087,0.05325849725077769
2026-09-24,Ironi Modiin,FC Ashdod,1x2,2,SB,1.67,0.6247717600876356,1.6005845076284049,0.0433688393463513,16.18240274117589,Israel - Ligat Leumit,19:00,,,6.08,4.37,1.3745,1.6024,2.18,,,,1.3745,0.2149872680974898,0.15708094701607012
2026-09-27,Real Salt Lake,New England Revolution,1x2,2,SB,3.05,0.3366174773569479,2.970731073893717,0.0266833059386912,3.2540616998404004,USA - Major League Soccer,04:30,,,2.34,3.83,2.77,1.5747,2.41,,,,2.77,0.10108303249097461,0.04973527075470652
2026-09-27,Seattle Sounders,Minnesota United,1x2,1,SB,2.17,0.477262582302948,2.095282632832168,0.0356598035973971,7.6196161532899955,USA - Major League Soccer,03:30,,,2.25,3.76,2.94,1.5556,2.46,,,,2.25,-0.03555555555555556,-0.07239731450015474
2026-09-24,Holon Yermiyahu,Kfar Saba 1928,1x2,2,SB,2.05,0.5003559013526261,1.9985774071949027,0.0257295977728833,6.12609470782936,Israel - Liga Alef,19:30,,,3.15,3.48,1.9174,2.0,1.7092,,,,1.9174,0.06915614895170541,-0.015567124971988866
2026-09-24,Kontu,LPS,1x2,1,SB,3.15,0.3359493790316998,2.976638929597905,0.0582405439498545,6.772156273238903,Finland - Kolmonen,19:00,,,3.28,5.32,1.5814,,,,,,3.28,-0.03963414634146334,-0.18673504775831606
2026-09-24,Uzbekistan,Iran,1x2,X,SB,3.1,0.3475322821000424,2.8774305338119204,0.0773500745101316,9.2083422035871,International - Friendlies,17:00,,,3.15,2.8,2.67,2.49,1.5376,,,,2.8,0.1071428571428572,0.056187887413978066
2026-09-25,Allerheiligen,Deutschlandsberger,1x2,2,SB,1.8,0.59584977875627,1.6782753567305528,0.0725296017612859,20.0,Austria - Regionalliga South,20:00,,,4.09,4.04,1.5747,,,,,,1.5747,0.14307487140407704,0.07252960176128598
2026-09-25,Swit Nowy Dwor Mazowiecki,Lomza,ou25,Over 2.5,SB,1.54,0.6689686808048232,1.4948382916774512,0.0302117684394276,13.986929833068348,Poland - 3rd Liga,17:00,,,1.4545,4.68,4.42,1.4115,2.58,,,,1.4115,0.0910379029401347,0.030211768439427633
2026-09-25,Wisla Plock II,Jagiellonia Bialystok II,1x2,2,SB,3.35,0.3544326494884732,2.8214105033586128,0.1873493757863853,19.9307846581261,Poland - 3rd Liga,17:00,,,2.16,3.79,2.52,,,,,,2.52,0.3293650793650793,0.18734937578638533
2026-09-25,Wislanie Skawina,Wisloka Debica,1x2,1,SB,2.0,0.5188193338034804,1.927453228600733,0.0376386676069608,9.409666901740222,Poland - 3rd Liga,20:00,,,1.7874,3.46,3.6,1.6289,2.12,,,,1.7874,0.11894371713102814,0.037638667606960885
2026-09-25,Zabkovia Zabki,Mlawianka Mlawa,1x2,1,SB,1.78,0.5756971625399147,1.7370243681384607,0.0247409493210482,7.92979144905391,Poland - 3rd Liga,17:00,,,1.625,4.31,3.58,,,,,,1.625,0.0953846153846154,0.0247409493210482
